id,title,date,content
1,Skok,úterý 20. listopadu 2012,"Jsem. Snáším se k zemi. Jsem sněhová vločka.
Ze všech sil volám, ať ohlédne se, počká.
Prochází mnou jako stínem a neví. O něm jsem snila.
Rozpouštím se v kaluži špíny jak malá mořská víla."
2,Holubi,středa 30. ledna 2013,"Nad domy vzneslo se hejno holubů.
Slyšíš, jak šumí jejich křídla?
Sníh ušil na střechy bílou obrubu,
oni klouzají, jako by vítr byl z mýdla.

Zašustí do ticha letka holubí,
jak na povel naklání se a krouží,
holubí bříška se blýskají, jsou sehraní
a jejich obraz odráží se v loužích.

Opíšou třikrát mou svatozář nad hlavou,
k zemi se snášejí peříčka šedá.
Něco si přej, já stojím tu s obavou,
že mé tajné přání splnit se nedá.

Potom se šumění s deštěm smíchá
v tichoučké staccato a já už vím,
za měsíčné noci uprostřed Moře ticha
sama se v slzách utopím."
3,Bílý anděl,sobota 26. ledna 2013,"Malá bílá pírka poletují vzduchem
toužím je mít v perutích
však ve vesmíru hluchém
slyším jenom smích.

Plujeme Mléčnou dráhou každý sám
můj bílý anděl zářící se toulá v dálavách
v rukou svých svírám talisman
ať na cestách mi aspoň zamává.

Ať pošle aspoň pozdravení
ten bílý něžný lhář
pak dojde mi, že žádný není
a černým křídlem zakryji si tvář."
4,Dospívání,sobota 26. ledna 2013,"Stejně, jak se člověk rodí
s dědičným hříchem,
andělovo černé peří
splývá s nočním tichem.

Dostane je na cestu,
vybaven tak přírodou,
že se má stát andělem,
pochopí až náhodou.

Když ho někdo požádá
o pomoc a lásku,
musí jít jak voják,
přes oči černou pásku.

Strachem téměř nedýchá,
vše vsadí na kartu jedinou,
musí chránit svého člověka,
neztratit duši nevinnou.

Tak učí se být andělem,
časem černá pírka ztrácí,
když člověka šťastným udělá,
jak frčky bílé peří se mu vrací."
5,Mléčná dráha,úterý 29. ledna 2013,"Jsou na Zemi hvězdáři,

kteří slepě věří,

že co se v Mléčné dráze odráží,

jsou hvězdy a ne peří.

Já znám však kluka, co se tváří,

že vesmír je plný pírek andělích,

To jeho oči z Mléčné dráhy září.

To vím zas já: oči a jeho smích.

Kdybych však přece pochybila,
váhání mě přepad stín
a skutečně tam kupa peří byla,
můžeme skákat v Mléčné dráze do peřin."
6,Noc,pondělí 28. ledna 2013,"Dnešní noc bude stříbrošedá
jak saténová košilka,
večerem voní levandule
a taky trochu vanilka.

Na parapetu svíčka bliká,
sny ke mě kráčí čarokrásné,
do spánku mi hbitě vplují,
až její měkké světlo zhasne.

Dnešní noc bude něžná
jako ramínko u tílka
a sladká jako čokoláda
a snědá jako Brazilka."
7,Okno,čtvrtek 31. ledna 2013,"Okno je příslibem nových světů,
za ním je život, tma i zář,
ruce si chladím sklem plným zmrzlých květů,
pod krempou klobouku zahlédnu bledou tvář.

Jen okamžik a zmizí do noci,
láká jak tajemná bludička
do tmy, ze které zírají žraloci,
chvěje se ve mě maličká dušička.

Chvěje se jak malý plamínek,
tvář mi připomene kohosi
z mých dávných něžných vzpomínek,
kdo už ten klobouk dávno nenosí.."
8,Pravá,úterý 15. ledna 2013,"Jak se pozná ta má duše pravá
v hlubokém temném vesmíru,
když rozum za srdcem pokulhává
a každý hledá lásku jenom z plezíru?

Je to ta duše, která se mnou brečí,
když potoky slz moje šaty skrápí?
Nebo ta, která zvedne mě, když klečím,
když svět mě zraňuje a trápí?

Či snad jen někdo, kdo mi rozumí,
kdo myslí na mě občas s půlnocí,
krok ke mě udělat však nemůže, či neumí,
mé srdce od lásky si nedá pomoci."
9,Srdce,úterý 29. ledna 2013,"Okno je brána
spojení dvou světů
vstup do kalného rána
srdce z vosku hnětu

Okno je černá díra
za ním cizí galaxie
v kterých se neumírá
kde se věčně žije

Okno mě kolébá do spaní
spánkem proklouznu k svítání
nezlomí se a nezraní
mé voskové srdce na dlani"
10,Bohové,středa 6. února 2013,"Bohové vrhají kostky
v nejnepříhodnější čas,
zda chceme býti hráči,
neptají se nás.

Z vězení vypouštějí lásku,
která ničí nebo tvoří,
mnohá srdce zmítaná
tou láskou choří a mnohá hoří.

Tak vrtošivý vítr zanesl ji k nám,
je tady, zastavil se čas.
Plamen srdce chvěje se
a potom zase hoří v nás."
11,Hodinky,pondělí 4. února 2013,"Sametová noc je tichá
i budík jenom zlehka dýchá
a netopýři ke startu připraveni
vyšlou signál, čekají na znamení.

Dnešní noc sladká je jak pralinky,
nekončí, snad zapomněla hodinky.
Měsíc se usmívá jak dortík z marcipánu,
obloha plná hvězd jak žlutých tulipánů."
12,Hořká,sobota 23. února 2013,"Když souhvězdí jsou skryta v mracích,
to pláče tulák po hvězdách.
Právě se ze svých výprav vrací
a ve vlasech má hvězdný prach

Když on je smutný,
zhořkne mléčná dráha z čokolády,
marcipán planet přestane být chutný
a komety se obracejí zády

Až ze svých poutí bude zpátky,
až vypláče se z jeho bolu,
přijdu mu naproti vesmírnými vrátky,
tu hořkomléčnou dráhu sníme spolu"
13,Kouzlo,pátek 1. února 2013,"Kouzelnou hůlku má
bloudí s ní po hvězdách
ta bytost tajemná
ve vlasech hvězdný prach

Snad jednou, znavený
svou cestou, klidu se naučí
vesmírné zahlédne znamení
anděla vyhledá, usne mu v náruči

Zůstane v objetí světelné roky
načerpá síly, jež mají jen vyvolení
až k hvězdám dalekým stočí své kroky
čeká ho okamžik překvapení

Zatímco spal, zmizelo kouzlo navždy
hůlka je prach, on zmatek má ve tváři
prstem se dotkne pohaslé hvězdy
ta pod jeho dotykem náhle se rozzáří"
14,Město,neděle 10. února 2013,"Za nocí kráčím po střechách
pokrytých pálenými taškami
město je plné siluet domů
a temné nebe nad námi

Město poskládané jak origami
je tiché a svítí do daleka
proudy světel vlní se
jak hladina a její řeka

Sedám si za komíny a
ohřívám si ruce zkřehlé
pak pohne se cosi
v domě protilehlém

Tam v přítmí svíček za  oknem
kde na parapetu vločky tají
stojí dva stíny – on a ona,
stojí tam spolu a rty se zlehka dotýkají."
15,Polibek,sobota 2. února 2013,"Andělům souzena tělesná láska není
neznají sladkost políbení
znají však lásku, kterou častokrát
duší se na dálku smějí dotýkat.

Když anděl člověka v myšlenkách políbí
svou pomoc navždy tak přislíbí
v jediném polibku spolu pak vzlétnou
aniž se kdy jejich rty střetnou."
16,Puzzle,čtvrtek 21. února 2013,"Svět je plný rozházených dílků
skládanky našich dnů
plný na kolena padlých snílků
kladoucích k sobě střípky snů

Skládáme pomalu i chvatně
každý dle svého obyčeje
skládáme od krajů, někdy matně
a někdo skládá jenom obličeje

Někdo dle návodu a někdo podle fantazie
někdo skládá poslepu a někdo od srdce
obrázek pohne se a vlastním životem si žije
někdo staví podle plánku k jiné skládance

Někdo potřebuje přesné instrukce
skládáme životy z příběhů i věcí
aby dílky zapadly do pevné konstrukce
přitom my všichni jsme stavitelé křehcí

A já až v tichu dnešní noci vím,
co v mém obrázku jasným písmem stojí
že Ty jsi voda na můj mlýn
Ty jsi chybějící dílek do té mojí…"
17,Strážný anděl,neděle 3. února 2013,"Když anděl síly ztrácí,
když k ránu do světa se vrací,
ve kterém nic ho nečeká,
někdy se stane, že potká člověka

Očima zamrká a řasami
rozvíří vzduch nad jejich hlavami,
jejich pohledy se potkají,
beze slov spiklenecky šeptají

Anděl pak přestane se bát,
můžou se spolu smát a hvězdy počítat
a člověku může stát se údělem
andělu býti strážným andělem :)"
18,Bez názvu,čtvrtek 21. února 2013,"Vodě hladkost
Ptákům volnost
Andělům lásku"
19,Tulák,středa 20. února 2013,"Málo ho vídám
marná sláva
zahlédnu jeho stín
za druhou hvězdou zprava

Zamává na mě
svou bílou dlaní
něžné sny vklouznou
do mého spaní

A mléčná dráha z hvězd
upečených dozlatova
ta dráha copatá
věčného tuláka zase schová"
20,Ukolébavka,čtvrtek 7. února 2013,"Anděl spal dnes na hladině
oceánu Mléčné dráhy,
přikrývkou mu hvězdy byly,
hřály a on spal tam nahý.

Kolébal ho jemný vánek,
oblékl ho do peří,
trochu pírek slétlo na Zem,
smutný ten, kdo nevěří."
21,Sněžení,středa 6. února 2013,"Vločky dnes něžně mrholí,
každá je jiná docela,
padají na chodník a taky do polí,
v každičké jedné je přání anděla.

Lidé k nim tváře zvedají,
snad poselství v nich tuší,
vločky jim na řasy sedají,
každému plní sny a moc jim sluší."
22,Kapky,neděle 10. března 2013,"Dvě kapky na zábradlí lesknou se, každá sama
Každá je sama, snad dočkají se rána
V sobě se navzájem zrcadlí
Na černém kovovém zábradlí
Do svítání vteřiny se vlečou
Než v jedinou kapku stečou
Ta potom ztěžka skane dolů
Ve věčném objetí dvě kapky umřou spolu
A jestli neumřou, vytvoří základ řeky
Která rozemele hory a poteče věky
Možná ze zajetí řeky se pak kapka vysvobodí
Až dosáhne chvíle, kdy hroutí se staré světy a kdy se nové hvězdy rodí."
23,Když spíš,úterý 12. března 2013,"V myšlenkách snesu se na Tvoji peřinu,
Tvé oči zavřené jsou cílem, jejž neminu.
Znám je tak dávno, jak se točí Země,
chci hýčkat Tvůj spánek a víčka líbat jemně.

Šeptám Ti slůvka, co říkat se nemají,
nemůžu za to, ze rtů mi létají.
Sníš klidně, jen vráska na čele
občas se usměje ze spaní vesele.

Tisknu se k Tobě, šimráš mě na nose,
odraz nás dvou smím hledat jen v obloze
nebo na průzračné jezerní hladině.
Hodíš tam oblázek a obraz se rozplyne…"
24,Kolibřík,středa 20. března 2013,"Jak rychle tluče srdce kolibříka?
Jako když nocí budík tiká?
Nebo zní jako mojí duše chvění,
když krev se v žilách náhle zpění,
a utišit ji možné není?

Jak rychle kmitá srdce kolibříka?
Jako když na obloze hvězda bliká?
Jako když pod palcem mi listy běží
a oddychují knížky vůně svěží?
Jak dusot kopyt koně bez otěží?

Jak asi rychle mžiká
maličké srdce kolibříka?
Jak moje řasy, než z nich slza steče,
když chvíle bez Tebe se vleče?
Malý ptáček květ svou krásou přiobleče,

nad hlavou zase jasná hvězda bliká,
můj znovu nalezený úsměv říká:
Poznáváš? To jsem já v srdci kolibříka…"
25,Láska,neděle 24. března 2013,"Jsi měsíc, stříbrný peníz
v temnotě noční oblohy,
úchvatný obraz
stvořený bez modelu, bez předlohy.
Jsi z režného plátna měšec
plný barevných fazolí,
voňavá skořice, která můj pláč
zázračně prosolí.
Jsi peří ptáků, když ve větvích
usínají znavení,
s nosem přitisklým na sklo
pokorně čekám,
až dáš mi znamení.
Žiješ z dešťů mých slz,
které jak višně kanou k rtům,
má ústa tiše sládnou,
jsou náchylná k polibkům.
Zanecháváš mě v bouři
Tvým trnem poraněnou.
Jsi svátost, lásko, nenech mě zemřít,
já přijímám Tě na kolenou."
26,Motýl z Maranella,pondělí 11. března 2013,"Jak chutnají Tvoje rty?
Už skoro jsem zapomněla…
Jaké je padat do propasti,
poddat se Tvému tělu zcela
a neovládnout slzy slasti..

Nevím, kdy dotknu se,
byť letmo jen, Tvých dlaní,
kdy zády se k Tobě přilepím,
když se ke mně skláníš,
kdy bude to, co já vím?

Večer jsem usnula v zahradě.
Otřu si kapky rosy z čela,
do vlasů vpletu věnec z trávy.
Usedl na něj motýl z Maranella,
snad přinese mi lepší zprávy…"
27,Jednou,úterý 19. března 2013,"Jednou – zmizím. Celý příběh
shrneš do dvou vět
v dalším krásném okouzlení,
když bude třeba vyprávět.

Ty toužíš vesmír ochutnávat
a poznat rychle celý svět,
být tulákem a vším se stát
a nevracet se zpět.

Nevíš, že  to, co hledáš,
může být v jediném pousmání,
v jediném srdci, po němž
pátráš bez přestání.

Však nehledáš v hlubinách,
plaveš na hladině zády,
nikdy nedohlédneš dolů
a dopouštíš se nejen v sobě zrady.

Tak nepoznáš, co bylo pravé
a poznáš všechno ""jen"",
nikdy nevzneseš se ke hvězdám
a nestaneš se básníkem.

Ztratíš poezii, ztratíš snění,
Tvá duše ukryje se do vzdálené skrýše
už ani pro Tebe nebude k nalezení
a Ty své srdce nikdy nevypíšeš."
